latitude,longitude
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.052629579,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
1.754382631,38.671875
